comment_count,date,story,title
0,"29 октября 2019, 06:43"," Об этом сообщает "","", передает ,.,Абай Сыздыков стал инвалидом 3,5 года назад. Молодой парень с другом занимались бизнесом, и в один из дней на него упали доски. Как итог - повреждение позвоночника.,Парень устроился по основной специальности - учитель истории.Ему ежедневно приходится пробираться из одного конца города в другой.,На примере нового образцового проспекта Строителей, где проходит путь парня на работу, он показал все трудности, с которыми приходится сталкиваться.,По его словам, проектировщики не учитывают потребности маломобильных людей.,Больше новостей в Telegram-канале ,. Подписывайся!","Прикованный к коляске парень показал, что Караганда не предназначена для инвалидов"
1,"29 октября 2019, 06:57"," передает ,.,Холли Романек гостила вместе с семьей в городе Сэнди-Хук, штат Нью-Джерси. Девушка решила отправить сообщение в пустой бутылке из-под холодного кофе. Она написала послание, поместила его в сосуд и бросила ""на удачу"" в воду.,В письме американка обратилась к вероятному адресату. В случае обнаружения послания, она предложила нашедшему его человеку написать ей на электронную почту. Спустя два месяца девушка получила ответ.,Автором находки стал мужчина, обнаруживший бутылку на скалах в бухте Флатрок, на острове Ньюфаундленд. Оказалось, что послание преодолело 1885 километров.,Отмечается, что бутылка попала в Гольфстрим, который течет узкой полосой вдоль побережья Северной Америки, после чего направляется на восток в сторону Великобритании.,Больше новостей в Telegram-канале ,. Подписывайся!","Девушка получила ответ на послание в бутылке, выброшенную в океан"
7,"29 октября 2019, 07:16"," Об этом пишет ,.,Парень скончался 1 сентября в доме своей семьи. О причинах смерти не сообщается.,Дэвин родился в Костанае и был усыновлен в возрасте 14 месяцев Уэйном и Кэтлин Такэбери. На момент смерти он учился в 12 классе средней школы.,Дэвин поддерживал связи с казахской диаспорой, у него было много друзей. Молодой человек увлекался фотографией, живописью, гимнастикой и танцами. Его работы были отмечены двумя золотым наградами национальной премии Scholastic Awards 2018.,Помимо этого, по информации издания, Дэвин был открытым представителем ЛГБТ-сообщества. Он участвовал в общественных дискуссиях с учителями, студентами и другими членами общины.,Больше новостей в Telegram-канале ,. Подписывайся!",Усыновленный американцами казах скончался в США
0,"29 октября 2019, 07:34"," сообщает ,.,В минувшие выходные в рамках вечера бокса в Алматы 29-летний Рысбек встречался с Мухитдином Раджапбаевым из Узбекистана (10-7-1, 7 КО). Поединок был рассчитан на восемь раундов, но завершился в первом, когда казахстанец отправил соперника в нокаут.,Этот успех позволил Рысбек совершить рывок в рейтинге BoxRec второго среднего веса и расположиться на 201-м месте.,Напомним, что главным событием вечера бокса в Алматы стал бой за титул WBO International в среднем весе между его обладателем казахстанцем Канатом Исламом (26-0, 21 KO) и намибийцем Уолтером Каутондоквой (18-1, 17 КО). В пятом раунде претендент оказался в нокдауне, но сумел достоять до финального гонга. По итогам десяти раундов судьи отдали победу Исламу.,Больше новостей в Telegram-канале ,. Подписывайся!","Казахстанец ""рванул"" на 325 мест в рейтинге после победы над узбекским боксером"
0,,,
0,,,
0,,,
2,"29 октября 2019, 07:51"," сообщает ,.,Он был личным помощником и телохранителем Фредди с 1979 года, ухаживал за певцом в последние месяцы его жизни. Питер консультировал создателей ""Богемской рапсодии"".,Байопик с Рами Малеком в главной роли понравился Фристоуну.,Больше новостей в Telegram-канале ,. Подписывайся!","Друг Меркьюри выступил против съемок второй части ""Богемской рапсодии"""
14,"29 октября 2019, 08:28","Ранее МакГрегор , о казахстанском ММА и боксе, а также о возможном посещении Казахстана на пресс-конференции в Киеве., ,Больше новостей в Telegram-канале ,. Подписывайся!","МакГрегор - обезьяна. Не хочу, чтобы он приезжал в Казахстан - Жумагулов"
0,"29 октября 2019, 08:13"," передает ,.,Премьера шестой части голливудской франшизы ""Терминатор"" должна была пройти в понедельник в ""Китайском театре"". ""В свете продолжающихся интенсивных пожаров в этом районе Paramount и Skydance отменили ночную премьеру ""Терминатора: Темных судеб"" в Лос-Анджелесе. Мы бесплатно отдадим пищу, предназначенную для приема после премьеры, американскому Красному Кресту, который обеспечивает тех, кого затронули пожары"", - говорится в сообщении.,Продюсером и сценаристом картины выступает Джеймс Кэмерон, снявший ""Терминатор"" (""Terminator""; 1984) и ""Терминатор 2: Судный день"" (Terminator 2: Judgment Day, 1991). Режиссер ленты - Тим Миллер, снявший кинокомикс ""Дэдпул"" (Deadpool, 2016). Поклонники франшизы увидят снова Арнольда Шварценеггера, сыгравшего киборга Т-800. Роль человекообразного робота Грейс исполнила актриса Маккензи Дэвис.,Режим чрезвычайной ситуации введен на всей территории Калифорнии в связи с бушующими на его территории лесными пожарами. Власти штата сообщили о том, что предписание об эвакуации было направлено почти 200 тыс. человек из районов, находящихся в опасной близости к очагам пожаров. По данным на сайте губернатора Гэвина Ньюсома, огонь угрожает сотням построек.,Шварценеггер в понедельник написал в своем Twitter, что также вынужден покинуть свой дом из-за пожаров.,Больше новостей в Telegram-канале ,. Подписывайся!",Премьеру Терминатора в Лос-Анджелесе отменили из-за пожаров
0,,,
9,"29 октября 2019, 08:42"," передает ,.,Жириновский заявил, что многие молодые люди, вдохновленные 16-летней активисткой из Швеции Гретой Тунберг, говорят о необходимости затормозить глобальное потепление. Однако, по его мнению, они пропагандируют методы, которые могут привести к уничтожению части человечества.,Председатель ЛДПР считает, что ограничение производства спровоцирует голод, нехватку товаров и энергии для обеспечения тепла в домах. По его мнению, убежденные люди используются для того, чтобы нанести удар по человечеству, причем, отметил Жириновский, ""в этих же целях используется и тема защиты прав человека и борьба с харасментом"".,Политик добавил, что заинтересованные лица готовы сократить население планеты до 500 миллионов человек, чтобы воплотить в жизнь свои политические амбиции, поскольку ими было бы легче управлять, чем 7-8 миллиардами.,Больше новостей в Telegram-канале ,. Подписывайся!",Жириновский назвал экофанатиков источником угроз для всего человечества
0,,,
2,"29 октября 2019, 09:06"," Своим прогнозом поделилась с , известный музыкальный продюсер Баян Алагузова.,24 ноября 2019 года в городе Гливице (Польша) пройдет 17-й конкурс песни Детское Евровидение. Казахстан примет в нем участие во второй раз в истории. На суд жюри и зрителей наша страна выставит песню ""Don't forsake your dream"" (Арманнан калма), которую исполнит финалист российской версии проекта ""Голос. Дети"" Ержан Максим. Авторы песни- Хамит Шангалиев, Данияр Алдабергенов и Тимур Балымбетов. Режиссером официального клипа является Александр Фломбойм, продюсер Сергей Руцкий.,Мы попросили известного музыкального продюсера Баян Алагузову оценить шансы Ержана Максима на победу в конкурсе.,Казахстан дебютировал на Детском Евровидении в прошлом году. Тогда в национальном отборе право представить страну завоевала победительница украинской версии проекта ""Голос. Дiти"" Данэлия Тулешова с песней ""Өзiңе сен"" (музыку песни для Данэлии написали украинские музыканты, текст - Камила Даирова и сама Данэлия, постановкой номера занимался известный российский режиссер Алексей Голубев, ранее работавший над выступлением Полины Гагариной на конкурсе Евровидение в 2015 году).,Тогда жюри поставило казахстанку на 8 место, отдав 68 баллов. По итогам голосования телезрителей Данэлия Тулешова набрала 103 балла, это 3-е место по зрительскому голосованию. По сумме голосов зрителей и жюри наша соотечественница стала 6-й, набрав 171 балл, хотя многие наши соотечественники думали, что Данэлия Тулешова займет место намного выше, чем в итоге получилось.,Система голосования на Детском Евровидении такова, что профессиональное жюри каждой страны присуждает комплект по 12, 10, 8—1 баллов 10 песням. Зрители по всему миру голосуют за 3 или 5 песен, и их голоса распределяются пропорционально. Голоса жюри и зрителей составляют по 50 % от всех голосов.,Добавим, что на территории Казахстана конкурс Детское Евровидение будет транслироваться телеканалом ""Хабар"". Также наши зрители смогут отдавать свои голоса за понравившихся конкурсантов. Агентство ""Хабар"" c 1 января 2016 года является ассоциированным членом Европейского Вещательного Союза (EBU), организующего конкурс, что позволило выдвинуть кандидата на участие от страны.,Альберт Ахметов,Больше новостей в Telegram-канале ,. Подписывайся!",Баян Алагузова о шансах на победу Казахстана в Детском Евровидении 2019
0,"29 октября 2019, 08:53"," передает , со ссылкой на пресс-службу ДП области. ,Так, 24 октября в Арысский РОП с заявлением обратился местный житель. У него с вольного пастбища бесследно пропал скот. С аналогичными заявлениями в полицию обратились еще десятки потерпевших. Данные факты зарегистрировали в ЕРДР Арысского РОП по , УК РК ""кража"" и начали досудебное расследование. Общая сумма ущерба, нанесенная потерпевшим, составила свыше трех миллионов тенге.,Была создана следственно-оперативная группа. Полицейские приступили к поискам. Также были созданы отряды добровольных помощников из числа местных жителей. Один из таких отрядов заметил на вольных пастбищах подозрительный автомобиль и сообщил об этом полицейским.,Прибывшие на место происшествия сотрудники полиции тщательно проверили оставленный бесхозный автомобиль, который принадлежал одному из подозреваемых.,Вокруг пастбищ и в салоне машины полицейские обнаружили вещественные доказательства, которые направили на экспертизы. Также через авто полицейские вышли на след подозреваемых. Оперативники сначала задержали владельца авто, а затем двух его подельников. ,По версии полиции, скотокрады промышляли на вольных пастбищах, расположенных между Казыгуртским и Арысским районами, там же разделывали краденный скот на мясо, которое затем на своей автомашине перевозили в Шымкент, где затем реализовывали его на городских рынках. ,Полицейские установили, что подозреваемые являются жителями Казыгуртского, Арысского районов и Шымкента, один из которых ранее судим. Также оперативники задержали скупщика краденного. Преступная группа оказалась причастна к 12 фактам скотокрадства в Казыгуртском районе, к семи фактам в Сарыагашском районе и к десяти фактам кражи скота в Арысском. В качестве вещественных доказательств изъяты топор, ножи и две автомашины подозреваемых. ,В настоящее время в полицию продолжают поступать заявления от сельчан в рамках данного уголовного дела. Следователи не исключают, что преступная группа может быть причастна к еще другим фактам скотокрадства, совершенных в районах области. В настоящее время следственно-оперативные мероприятия продолжаются., ,Больше новостей в Telegram-канале ,. Подписывайся!",Краденое мясо продавали на базарах Шымкента
0,,,
0,"29 октября 2019, 09:14"," сообщает ,.,В Северо-Казахстанской, Павлодарской, Костанайской областях ожидается усиление ветра 15-20 м/с, в Северо-Казахстанской, местами в Павлодарской, ночью местами в Костанайской областях – порывы 23-28 м/с, в Костанайской области местами – туман. В Акмолинской области – усиление ветра ночью 15-20, местами порывы 23-28 м/с, днем местами 15-20 м/с. В Карагандинской, Восточно-Казахстанской областях местами ожидается усиление ветра 15-20, порывы 23-25 м/с, в Карагандинской области ночью и утром местами – туман. В Жамбылской, Атырауской, Актюбинской, ночью в Мангыстауской областях местами ожидается туман.,Больше новостей в Telegram-канале ,. Подписывайся!",Неустойчивая погода ожидается на большей части Казахстана во вторник
3,"29 октября 2019, 09:23"," сообщает ,.,Об этом на своей странице в Facebook сообщил пресс-секретарь Президента Берик Уали.,Больше новостей в Telegram-канале ,. Подписывайся!",Токаев прибыл в Алматы
